date_data_entered,person_entering_data,date_on_vial,person_that_sorted_the_sample,site,partial_sample_note,sample_type,ostracod,copepod,hemiptera_corixidae_boatman,cladocera,nematode,dipteran_sp,diptera_chironomid,diptera_ceratopogonidae,diptera_ceratopogonidae_pupa,diptera_culicidae,diptera_culicidae_larvae,diptera_anthomyiidae,diptera_ephydridae,diptera_stratiomyidae,amphipod,lepidoptera_crambidae,hemiptera_mesoveliidae,hemiptera_notonectidae,annelida_sp,annelida_oligochaete,annelida_polychaete,ephemeroptera,odonate,coleoptera_sp,coleoptera_dytiscidae,coleoptera_dytiscidae_liodessus_affinis,coleoptera_dytiscidae_agabus,coleoptera_dytiscidae_colymbetinae,coleoptera_curculionidae_weavil,coleoptera_hydrophilidae,coleoptera_tropiscernus,coleoperta_hydraenidae,coleoptera_gyrindae_gyrinini,ephemeroptera_sp,tipulidae_larva,plecoptera_sp,arachnida_acari_mite,trichoptera_sp,collembola_springtail,gastropod_snail,mollusk,syrphidae,terrestrials,isopoda_sphaeroma,clam_shrimp,eristalis_tenax_larvae,larvae,crawfish,fish,nz_mudsnail,unknown,comments,OBJECTID,Sampling_frequency,x,y
NA,Kristen R,2023-02-28T00:00:00Z,Kaitlyn Briggs,NPB,NA,FB250,18,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,18,NA,NA,NA,NA,NA,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Emma Sayre,2023-03-03T00:00:00Z,Kaitlyn Briggs,NDC,NA,FB250,43,46,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,Sophia Cabral,2023-03-03T00:00:00Z,Belen Baldelli,NWP,NA,FB250,1436,114,NA,5800,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,2.0,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
NA,Kristen R,2023-03-03T00:00:00Z,Kaitlyn Briggs,NPB2,NA,FB250,1,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Emma Sayre,2023-05-04T00:00:00Z,Kaitlyn Briggs,NMC,NA,FB250,14,515,NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Kristen R,2023-05-04T00:00:00Z,Emily B,NEC,NA,FB250,5,86,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Kristen R,2023-05-04T00:00:00Z,Breanna Flores,NMC,NA,FB250,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Kristen R,2023-05-04T00:00:00Z,Lily Strange,NEC,NA,FB250,NA,190,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Kristen R,2023-05-05T00:00:00Z,Belen,NPB,NA,FB250,185,75,NA,24,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Valeria Estrada,2023-05-06T00:00:00Z,Breanna Flores,NWP,NA,FB250,225,5,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"broken ostracods in vial; ""Unkown"" sample is ostracods;",8,After Rain,-119.882349524514,34.4212123017849
NA,Lauren S,2023-05-06T00:00:00Z,Belen,NDC,NA,FB250,420,3,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,Kristen R,2023-05-16T00:00:00Z,Kaitlyn Briggs,NVBR,NA,FB250,NA,21,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Lauren S,2023-05-16T00:00:00Z,Belen,NVBR,NA,FB250,1,109,10,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spilled some of this sample while checking, but was able to check all of it",NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Kylie Malone,2023-06-06T00:00:00Z,Kylie Malone,NPB1,NA,SW250,58,405,NA,2,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Valeria Estrada,2023-06-06T00:00:00Z,Emily Bredy,NPB1,NA,FB250,4,197,NA,1,NA,NA,20,NA,NA,NA,4,NA,NA,NA,265,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Emma Sayre,2023-07-17T00:00:00Z,Kate Geenen,NPB,NA,FB250,34,4,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Scrape rock"" sample, two gastropod shells in sorted vial; big forceps used to add ostracods, so some might be broken",4,Quarterly,-119.878980669991,34.4213716063627
NA,Kylie Malone,2023-08-03T00:00:00Z,Theo Jiang/Kylie M.,NPB1,NA,SW250,12,1,1,33,NA,NA,5,1,NA,2,NA,NA,2,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,326,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Valeria Estrada,2023-08-12T00:00:00Z,Isla Andersen,NEC,NA,FB250,NA,255,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Sophia Cabral,2023-08-12T00:00:00Z,Desiree,NEC,NA,FB250,NA,NA,140,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"53 coleotpera, 318 copepod, and 167 ostracod unaccounted for- may be missing a vial",1,Quarterly,-119.873895201699,34.4208936917187
NA,Kylie Malone,2023-08-30T00:00:00Z,Theo Jiang/Kylie M.,NPB,NA,SW250,118,2,1,NA,NA,NA,11,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1 aphid,4,Quarterly,-119.878980669991,34.4213716063627
NA,Delaney O'Donnell,2023-08-30T00:00:00Z,Kate Green,NPB,NA,SW250,NA,8,1,NA,1,NA,35,12,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/8 Nematodes not present,4,Quarterly,-119.878980669991,34.4213716063627
NA,Valeria Estrada,2023-08-30T00:00:00Z,Alan Gonzalez,NPB,NA,SW250,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Sophia Cabral,2023-09-12T00:00:00Z,Kate Geenen,NVBR,NA,FB250,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Sophia Cabral,2023-09-15T00:00:00Z,Sophia Long,NMC,NA,FB250,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Jasmine R,2023-10-08T00:00:00Z,Jasmine R,NPB,(1/3),SW250,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16,NA,NA,NA,5.0,NA,NA,NA,NA,28.0,4,Quarterly,-119.878980669991,34.4213716063627
NA,Kylie Malone,2023-10-30T00:00:00Z,Sophia Long,NPB1,NA,SW250,37,4,NA,NA,405,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
NA,Valeria Estrada,2023-11-11T00:00:00Z,Lana Marshall,NEC,NA,FB 250,NA,4,74,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Emma Sayre,2023-11-11T00:00:00Z,Ella Heidman Pinkner,NEC,NA,SW500,NA,NA,121,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Sophia Cabral,2023-11-12T00:00:00Z,Chris Hyder,NMC,NA,FB250,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
NA,Sophia Cabral,2023-11-12T00:00:00Z,no name,NMC,NA,FB250 core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 unknown green tube,3,Quarterly,-119.875955139532,34.4196900427342
NA,Delaney O'Donnell,2023-11-14T00:00:00Z,Darren Justeson,NPB,NA,FB250,135,200,NA,390,NA,NA,10,6,1,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Kylie Malone,2023-11-19T00:00:00Z,Rebecca Baumann,NPB,46025.0,SW250,145,26,NA,41,NA,11,10,3,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,401,NA,NA,NA,NA,NA,1,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Kylie Malone,2023-11-19T00:00:00Z,Jasmine Rebollar,NPB,46056.0,SW250,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,5,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-08T00:00:00Z,Kylie Malone,2023-11-19T00:00:00Z,Luke Rutherford / Elyse / Kylie,NPB,46084.0,SW250,53,13,NA,19,NA,NA,3,NA,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,2 Diptera are Dolichopodidae; 33 Aphids,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-14T00:00:00Z,Valeria Estrada,2024-01-13T00:00:00Z,Chris Hyder,NPB1,NA,SW250,15,10,NA,10,58,NA,3,1,NA,6,NA,NA,NA,NA,10,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2024-12-14T00:00:00Z,Elyse Hartmann,2024-01-19T00:00:00Z,NA,NMC,NA,Algae,3,8,NA,NA,NA,NA,27,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*check for missing organisms on sorting sheets,3,Quarterly,-119.875955139532,34.4196900427342
2024-12-14T00:00:00Z,Delaney O'Donnell,2024-01-28T00:00:00Z,Emma Skoglund,NPB,NA,SW250,49,145,NA,NA,6,NA,8,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-14T00:00:00Z,Jasmine R,2024-01-28T00:00:00Z,Ella Heidman-Pinkner,NPB,NA,SW250,89,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 of 3, original sort had 226 copepods, only found 100",4,Quarterly,-119.878980669991,34.4213716063627
2024-12-14T00:00:00Z,Kylie Malone,2024-01-28T00:00:00Z,Desiree Vu De Leon,NPB,NA,FB250,25,3302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gastropod = Gyraulus,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-14T00:00:00Z,Kylie Malone,2024-01-28T00:00:00Z,Natalie Ramirez,NPB,NA,SW250,7,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-14T00:00:00Z,Kylie Malone,2024-02-10T00:00:00Z,Alexa,NEC,NA,SW500,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2024-12-14T00:00:00Z,Jasmine R,2024-02-10T00:00:00Z,Natalie Ramirez,NWP,NA,SW500,58,16,19,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,38.0,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
2025-02-19T00:00:00Z,Jasmine R,2024-02-10T00:00:00Z,Chris Hyder,NMC,NA,SW500,113,13,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 hirudinea (leeches) found,3,Quarterly,-119.875955139532,34.4196900427342
2025-02-19T00:00:00Z,Jasmine R,2024-02-10T00:00:00Z,Arianna Huang,NDC,NA,SW500,112,62,5,42,NA,NA,17,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,note: there were white spiral shells of some sort,7,Quarterly,-119.882993254677,34.4211237991105
2024-11-23T00:00:00Z,Jasmine R,2024-02-10T00:00:00Z,Maura + Kylie,NVP2,NA,SW500,1057,68,NA,NA,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,"5 tadpoles, 10 biting midges, 946 Daphnia",10,After Rain,-119.87988189222,34.4194776322913
2025-03-03T00:00:00Z,Jasmine R,2024-02-25T00:00:00Z,Ava Bendett + Araceli,NPB1,NA,SW250,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2024-12-13T00:00:00Z,Elyse Hartmann,2024-03-08T00:00:00Z,Emma Sayre,NEC,NA,Algae,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2025-03-03T00:00:00Z,Kylie Malone,2024-03-17T00:00:00Z,Kylie Malone,NPB,NA,SW250,95,86,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-13T00:00:00Z,Elyse Hartmann,2024-04-16T00:00:00Z,Alexa,NMC,NA,Algae,1,13,NA,NA,NA,NA,3,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,13,15,NA,NA,"** water mites, check this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37 lavender springtail larva,3,Quarterly,-119.875955139532,34.4196900427342
2025-03-03T00:00:00Z,Jasmine R,2024-05-02T00:00:00Z,Melina Axelrad,NVBR,NA,SAV,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
2025-03-03T00:00:00Z,Sophie Serruya,2024-05-02T00:00:00Z,Alyssa Ambrosini,NEC,NA,SAV,1,1,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2025-03-03T00:00:00Z,Jasmine R,2024-05-11T00:00:00Z,Kalin Zobel,NPB,NA,SW250,22,78,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sample vial has been misplaced,4,Quarterly,-119.878980669991,34.4213716063627
2025-03-09T00:00:00Z,Jasmine R,2024-05-11T00:00:00Z,Kirya Wagner,NPB,46024.0,SW500,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2025-05-22T00:00:00Z,Kylie Malone,2024-05-11T00:00:00Z,Kai Suzuki,NPB1,NA,SW250,1,6,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-03-03T00:00:00Z,Jasmine R,2024-05-11T00:00:00Z,Owen Eclweiler,NPB1,NA,SW500,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-03-03T00:00:00Z,Kylie Malone,2024-05-17T00:00:00Z,Owen Eckweiler,NMC,NA,SW500,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
2024-12-09T00:00:00Z,Jasmine R,2024-05-17T00:00:00Z,NA,NEC,NA,SW500,NA,NA,13,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 Diptera are Dolichopodidae,1,Quarterly,-119.873895201699,34.4208936917187
